RA,Dec,z,direction_cw_ccw
338.04654,1.19564,0.04017,1
162.84458,0.26248,0.04019,1
171.77542,3.49985,0.04021,-1
170.08285,1.10359,0.04021,1
177.93191,4.41023,0.04022,-1
178.07139,4.11121,0.04022,1
185.08381,-0.88201,0.04024,1
184.18922,-0.10348,0.04027,1
35.27603,-0.57647,0.04027,-1
172.91776,3.3159,0.04033,-1
222.51552,0.0975,0.04034,1
150.45318,-1.14086,0.04036,-1
177.61733,4.69495,0.04036,1
170.20181,0.5806,0.04037,1
220.17904,42.71077,0.04038,-1
180.75423,-0.29113,0.0404,1
173.61317,3.26782,0.04041,-1
198.03647,-0.23903,0.04045,-1
198.08874,0.30791,0.04046,-1
32.81052,1.08764,0.04047,1
354.80425,1.00157,0.04048,1
167.45148,3.40226,0.04049,1
337.13126,-0.65745,0.04049,-1
355.15136,0.54498,0.0405,1
29.79993,-0.27931,0.04051,-1
166.07658,2.31344,0.04052,-1
172.09269,-1.25913,0.04052,1
167.93417,4.22124,0.04053,-1
132.50265,-0.18232,0.04053,1
336.97469,0.02692,0.04054,-1
213.96402,-1.30757,0.04056,1
169.67906,-0.36168,0.04058,1
2.42156,-0.53123,0.04058,1
176.17682,3.42593,0.0406,1
134.67674,0.19142,0.04062,1
37.86103,-0.79299,0.04062,1
161.23711,2.38832,0.04065,-1
225.45457,0.05641,0.04065,1
34.78238,0.61304,0.04067,1
167.53329,3.4443,0.04068,1
170.63032,-0.01715,0.04074,-1
239.10209,42.39547,0.04075,-1
7.55604,-0.70782,0.04077,-1
225.52489,0.11516,0.0408,-1
232.00129,42.61554,0.04081,-1
233.45343,42.48565,0.04082,-1
198.05196,-1.09521,0.04086,-1
33.4959,0.59819,0.04086,1
239.11716,41.84681,0.04087,1
147.87757,1.69056,0.04088,-1
222.36209,-0.16421,0.04099,1
171.58171,1.99141,0.04101,1
32.52408,-0.86074,0.04101,-1
170.07658,4.25793,0.04102,-1
195.81664,1.46862,0.04103,1
236.23767,42.33092,0.04104,1
18.60704,0.5361,0.04104,1
237.65819,43.46992,0.04107,1
166.93589,3.43806,0.04114,-1
167.86322,-0.28913,0.04115,-1
157.41965,1.93197,0.04116,-1
163.33761,-0.68662,0.04118,1
8.81057,0.69599,0.04119,1
29.54871,0.32994,0.04119,1
162.31199,2.78144,0.04127,1
212.33459,-1.26707,0.04131,1
167.86309,4.30519,0.04132,1
32.17469,0.40741,0.04133,-1
18.60906,0.53352,0.04139,1
220.81635,-1.28406,0.04146,1
133.94858,0.79427,0.04148,-1
206.06766,1.57666,0.04149,-1
18.73445,0.1307,0.04149,-1
